closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
9.02,111349.0,9.052870873512957,9.087668807281938,9.248981952836454,-0.183012270738649,38.112470276491834,36.279981565798984,38.17597453843127
9.08,483304.0,9.086913915675305,9.098890672734948,9.241752571849036,-0.1749821964137368,48.93462086850818,36.1363399117905,37.496096329551015
9.1,171927.0,9.088775943783537,9.097825560612456,9.230271604783725,-0.16647496596524328,52.2729920683312,37.298440444338276,37.4302110344801
9.11,80979.0,9.093350629189024,9.098604633843713,9.220443019800362,-0.15754764996352427,54.074408314243435,38.70210495031351,37.85417567309124
9.4,931479.0,9.194733752792683,9.148420528203095,9.234062787508027,-0.14316657183180567,80.14884385851033,45.480118159646764,40.39615650194308
9.47,797674.0,9.299822501861788,9.20868377350258,9.255288726930486,-0.1238542481510257,82.95237468125735,52.81003861245529,44.53411720544715
9.4,209426.0,9.339048334574526,9.243486477918816,9.267766517166603,-0.10393940637037784,70.93140887039965,54.88540726774128,47.984547226211866
9.35,103522.0,9.34519888971635,9.262488731599014,9.274669092769171,-0.0855875973303338,63.09433217115552,53.4679086426292,49.81233436501765
9.25,53761.0,9.323465926477567,9.265407276332512,9.275079162556157,-0.07040445510899598,49.870183599497835,48.303500276520744,49.30938966885201
9.22,117753.0,9.297310617651712,9.262006063610427,9.272765380821069,-0.05847542752932518,46.371302626437696,42.112243427590435,46.91034092176482
9.22,151833.0,9.273207078434476,9.255838386342022,9.269091120757908,-0.04943088890663733,46.371302626437696,37.98473886163689,43.93514023505551
9.2,25100.0,9.251304718956318,9.247781988618351,9.264353342238069,-0.04285898184925334,43.44512626039795,32.5695360526854,40.146605507598814
9.18,50975.0,9.233369812637546,9.23940165718196,9.259210777450527,-0.038249009533116086,40.38687804225137,27.99321727183853,36.09547609567872
9.1,102055.0,9.188079875091697,9.215751380984967,9.246771486877408,-0.03680322880498113,30.187037202289158,23.79034997609746,31.993767389151632
9.0,240331.0,9.127886583394465,9.181042817487473,9.22836598788684,-0.03890721712385814,21.89322618895603,19.50606665073165,27.83120047634497
8.95,81415.0,9.06859105559631,9.14253568123956,9.206953219587852,-0.044009281368745067,18.7949136153837,15.877607652211843,23.846669534967262
8.94,56161.0,9.02072737039754,9.106279734366298,9.185264510388787,-0.051004380299493876,18.177521093963037,16.354302537371993,21.349213869102172
8.94,72465.0,8.98298491359836,9.073149778638582,9.16389800958965,-0.05895315042980863,18.17752109396304,19.387716843096424,20.695381527100256
8.97,85004.0,8.966989942398905,9.050124815532152,9.146290470390445,-0.0663956513155055,28.34577906463253,24.258477895397608,21.88308031653271
8.8,140502.0,8.910493294932603,9.008020679610127,9.119460434206564,-0.07540447197169192,15.363142582331617,22.28342970804292,22.016530113702782
8.84,156507.0,8.885328863288402,8.979183899675105,9.097578862344522,-0.08400257011123684,25.05504866476243,23.188953138695307,22.40733778870029
8.87,82859.0,8.871052575525601,8.956403249729254,9.077957411394944,-0.09151288842212754,32.05726029100208,27.45930209246352,24.0913258899547
8.9,216491.0,8.8990350503504,8.956169374774378,9.06849914897995,-0.09567626557881634,38.90687916519464,32.30620139497574,26.82961772496171
8.81,100007.0,8.885190033566934,8.939724478978649,9.052268445212261,-0.09904980570977562,28.546446245023397,29.537467596650558,27.732234348857997
8.85,49854.0,8.880960022377955,8.928520399148873,9.038440103272857,-0.10122378539261723,37.43232264964825,30.358311731100383,28.607593476272125
8.9,38253.0,8.88647334825197,8.92335033262406,9.027598556867254,-0.10182867316273239,47.26871891814571,34.23887448740032,30.484687146648188
9.06,82860.0,8.965148898834647,8.956541943853383,9.034898667877465,-0.09713428333500247,67.11887356379276,41.23387652393857,34.06775027241165
9.05,53232.0,8.993432599223098,8.972118286544486,9.036060308809969,-0.09049583112109852,65.27593880108064,45.39969877715314,37.84506644065882
9.2,257768.0,9.086455066148732,9.022181905453738,9.054247977363048,-0.07880987927874064,76.76138813410871,49.6463108126757,41.77881456466445
9.18,55308.0,9.109303377432488,9.044318254544782,9.061998132950505,-0.06658387910413703,72.90319451107084,50.79301379281259,44.783547640713834
9.1,82289.0,9.107868918288325,9.05443187878732,9.06530596887739,-0.0554419213013236,58.73329415923618,46.75089808409725,45.43933112184164
9.18,1246464.0,9.12024594552555,9.0695265656561,9.071436278963743,-0.044735479702587594,66.5379539377386,47.611709833842575,46.16345735917528
9.2,381529.0,9.160997297017033,9.098355471380083,9.084595026735762,-0.033036294833205894,68.33459168901608,49.074473222561664,47.13379598030408
9.24,100813.0,9.17983153134469,9.118212892816736,9.094818486217626,-0.02175015454674279,71.94922417434921,51.827426592818874,48.69833951780901
