,closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
5394,138.5,53096169.0,143.06391809738517,143.211435138209,143.60808242512428,-0.6066495772048743,68.93734384103308,54.79032065983378,69.59917002800033
5395,140.5,45375815.0,142.04261206492345,142.6761959485075,143.33053762319165,-0.6161879967007261,78.7931326619693,43.934287847296595,61.04420930109908
5396,141.0,33330373.0,141.6534080432823,142.37599662375627,143.14165011371537,-0.6460810953524022,80.63629083266714,38.548784490790325,53.5457343643295
5397,141.5,24309420.0,141.5606053621882,142.2091638531302,143.00575395112187,-0.6761828958802554,82.46510852528137,36.81030077163799,47.96725650009899
5398,142.5,17091230.0,141.66540357479212,142.1534698776085,142.91877287795867,-0.6940069167742389,85.70528464550061,39.35501532924014,45.09650944314604
5399,140.5,20683912.0,141.36026904986142,141.9195582313404,142.7519441950388,-0.7216827261590681,59.37395645979625,33.644084293567495,41.27903439328653
5400,140.5,26545982.0,141.1985126999076,141.74546519278366,142.6075638723435,-0.7497659168392217,59.373956459796254,29.8367969364524,37.46495524100849
5401,138.0,52066084.0,140.38234179993842,141.24622099398638,142.31082818985553,-0.8127341726452061,38.23138833074281,19.891197957634933,31.607036146550637
5402,136.5,53784773.0,139.0048945332923,140.41351749498867,141.8446106367897,-0.9364059664763704,30.4296525364037,23.06472020705074,28.75959750005067
5403,138.5,35404791.0,138.79492968886152,140.07376457915723,141.5777175108828,-1.0499153595262092,47.55368764073551,33.02353896156324,30.18091132055486
5404,138.5,27574220.0,138.82161979257435,139.87397048263102,141.3698161638918,-1.1391014238731252,47.55368764073551,39.66275146457158,33.34152470189377
5405,138.5,23485780.0,138.75607986171624,139.66580873552584,141.15867645897706,-1.2098546837887425,47.55368764073551,44.0888931332438,36.923980845677114
5406,136.5,37250129.0,138.2123865744775,139.2423406129382,140.84839365444034,-1.289094355331424,33.36329045149947,39.19651699078998,37.68149289404807
5407,140.0,55848153.0,138.64159104965168,139.28528384411516,140.74467106563725,-1.3231529285695578,59.03455718534208,51.13101132719331,42.16466570509649
5408,139.0,27906576.0,138.9693940331011,139.3419032034293,140.65854252212668,-1.321850206595123,52.14684494860913,54.92067421812887,46.41666854277395
5409,140.5,21857010.0,139.4795960220674,139.53491933619108,140.64634694350156,-1.2797656867381932,60.45228401038413,63.69711614541925,52.17681774365571
