date,closed,volume,ema6,ema12,ema26,macd,wrsi6,K9,D9
101/06/21,605.0,1760434.0,603.5891696109496,588.8241878553,569.5654851689837,13.995502153237501,61.79878877590948,81.59402469090377,81.48790989872437
101/06/22,612.0,1435656.0,605.0594464072998,592.0201565460833,572.5219863098312,15.096035769840427,65.28500067135741,81.44915655722087,81.4749921182232
101/06/25,599.0,1393740.0,604.2062976048666,593.7667971217361,574.827987362921,15.864590567635355,54.25146557834064,75.0723845647173,79.3407896003879
101/06/26,581.0,1611225.0,598.3041984032444,592.5556642681134,575.7258344888502,16.057638409960937,42.35717265428879,62.12555106246854,73.60237675441478
101/06/27,612.0,2267274.0,601.1194656021629,594.9213868900946,578.1123087589386,16.20792635419994,60.33123573271946,68.47017413826406,71.8916425490312
101/06/28,605.0,1897162.0,603.8296437347752,597.3094890750789,580.5075157774819,16.32673574287935,55.63084226066898,63.828600940660884,69.20396201290777
101/07/02,607.0,1057276.0,606.1364291565168,599.5495742292325,582.8338607176756,16.404531296614845,48.50473977781521,62.24937032407695,66.88576478329749
101/07/03,604.0,1580589.0,606.6742861043446,600.9163118576937,584.750486816316,16.356790045567422,46.553120749187876,59.32903758039239,64.36685571566245
101/07/04,606.0,1646035.0,606.6161907362297,601.846926548078,586.423526291984,16.17011208767275,48.21984664933377,59.877894972294115,62.870535467873005
101/07/05,602.0,1060054.0,605.5774604908198,602.1224387900651,587.7371011926006,15.813157189631102,44.862209702988274,56.99176737990339,60.910946105216475
101/07/06,582.0,3357810.0,598.3016403272132,599.0603656583876,587.430401100862,14.976518663209996,31.64232757688313,44.66117825326893,55.494356821233964
101/07/09,575.0,1637973.0,590.6177602181422,595.0919713819897,586.4934471700265,13.700919772960635,28.157435663968148,35.13126169265548,48.706658445041136
101/07/10,571.0,1733377.0,584.4118401454281,591.2433094849913,585.3785666184859,12.133684391669581,26.180290533327828,28.420841128436987,41.94471933950642
101/07/11,580.0,1715425.0,582.6078934302853,589.2027579041594,584.8879076478332,10.569917564600898,37.945108999214575,28.947227418957993,37.612222032656945
101/07/12,582.0,1511874.0,581.6552622868569,587.6272982534662,584.4926839826153,9.082856905850893,40.47488391509799,30.409262723749773,35.211235596354555
101/07/13,594.0,2558667.0,584.6035081912379,588.1060818778884,584.9547852147218,7.896544857314032,53.9820834016069,38.98629210823084,36.469587766979984
101/07/16,578.0,1792527.0,584.0690054608252,587.2550682315737,584.8044171212816,6.8073661079096315,39.6034389466273,36.247271661897486,36.39548239861915
101/07/17,573.0,2044040.0,580.4626703072169,584.920890192978,583.9156158042599,5.646947764071332,36.00689596607123,31.80373666348721,34.8649004869085
101/07/18,574.0,1074763.0,578.6417802048112,583.2674084941483,583.2297992039322,4.5250800693002855,37.37189661217321,32.01330191980228,33.91436763120643
101/07/19,587.0,1313927.0,581.1778534698741,583.7645070784569,583.4621223420913,3.6805410027133334,53.008531508884396,44.49034942801634,37.43969489680973
101/07/20,590.0,1069064.0,583.6185689799161,584.553755898714,583.8496513926997,3.085253703373536,56.04743828067868,55.58615887793682,43.488516223852095
101/07/23,581.0,884028.0,582.8290459866107,584.003129915595,583.6496782086458,2.5388933040886608,45.46317522624151,54.20029639481502,47.059109614173074
101/07/24,589.0,842288.0,583.8860306577404,584.3359415963291,583.8304721925962,2.1322085240175177,54.606904882295986,60.895435691781444,51.67121830670919
101/07/25,594.0,2678129.0,585.257353771827,584.946617996941,584.1512051008581,1.864849398430593,59.67732688808307,70.12076665166381,57.8210677550274
101/07/26,597.0,1508483.0,588.3382358478847,586.5388483307842,584.9472662469459,1.8101959355121267,62.67885084937323,79.12813014872826,64.92342188626101
101/07/27,611.0,1807740.0,595.2254905652565,590.2823736089869,586.7974765356423,2.1451361630786097,73.65908111152784,85.40514799030863,71.75066392094355
